,Amp1,Lifet1,Amp2,Lifet2,Backgr.,Backgr.,Shift,Chi,AvgLifet_Int,AvgLifet_Amp
cell 1,996.03,3.11,885.37,0.83,0.28,-13.07,-25.66,0.96,2.67,2.03
cell 2,2775.31,0.86,2529.99,3.12,1.54,-5.61,-25.83,1.20,2.59,1.94
cell 3,1331.07,3.01,1492.84,0.73,0.47,-10.81,-32.06,1.19,2.52,1.80
cell 4,1443.50,2.98,1571.91,0.78,0.67,-9.13,-30.51,0.97,2.49,1.83
cell 5,1587.76,3.03,1906.90,0.72,0.35,-16.26,-29.85,1.41,2.51,1.77
cell 6,1442.54,3.23,1241.50,0.93,1.09,-3.16,-30.95,1.06,2.77,2.17
cell 7,596.90,3.09,662.22,0.79,0.35,-10.30,-29.96,0.91,2.58,1.88
cell 8,1737.30,3.14,1698.94,0.97,0.79,-8.70,-30.23,1.23,2.63,2.06
cell 9,4121.90,3.07,4148.36,0.87,1.65,-11.24,-32.54,1.50,2.58,1.96
cell 10,1703.74,0.81,1704.85,3.04,0.65,-6.79,-33.19,1.10,2.57,1.93
cell 11,2238.32,3.05,2547.39,0.93,0.99,-7.54,-31.57,1.18,2.50,1.92
cell 12,3030.99,0.89,3154.44,3.13,1.29,-8.76,-31.52,1.48,2.65,2.03
cell 13,2299.24,2.94,2574.43,0.85,0.86,-9.08,-31.41,1.26,2.43,1.83
cell 14,1916.67,3.09,2030.67,1.00,0.47,-9.13,-24.60,1.15,2.56,2.02
cell 15,1716.75,0.90,1699.71,3.07,0.73,-10.42,-23.45,1.07,2.57,1.98
cell 16,1179.20,3.13,959.57,0.90,0.61,-10.46,-21.96,1.06,2.70,2.13
cell 17,1730.16,3.02,1501.19,0.87,0.61,-10.61,-25.71,0.97,2.59,2.02
cell 18,1876.58,3.11,2106.15,0.77,0.50,-14.65,-22.86,1.29,2.60,1.87
cell 19,1696.74,0.77,1787.95,2.93,0.93,-8.18,-30.36,1.09,2.49,1.88
cell 20,3065.47,0.91,3238.00,3.03,1.47,-6.83,-32.61,1.30,2.56,2.00
cell 21,1806.73,0.83,1834.80,2.92,0.79,-10.13,-30.35,1.16,2.47,1.88
cell 22,6789.47,0.84,6224.45,2.89,3.77,-8.13,-28.27,1.54,2.40,1.82
cell 23,2160.98,0.75,2017.21,2.94,0.42,-16.33,-25.28,1.25,2.47,1.81
cell 24,2424.91,2.87,2401.62,0.70,1.35,-16.12,-24.25,1.41,2.45,1.79
cell 25,1302.33,3.04,1660.78,0.72,0.75,-12.77,-22.95,1.08,2.50,1.74
cell 26,2902.21,3.08,3241.07,0.82,1.35,-8.86,-26.31,1.30,2.56,1.89
cell 27,1945.37,2.89,2019.32,0.76,0.92,-5.97,-27.04,1.10,2.43,1.81
cell 28,1099.47,2.90,1089.29,0.72,0.49,-12.94,-24.43,0.97,2.47,1.81
cell 29,498.87,0.71,459.47,2.88,0.27,-12.16,-25.11,0.94,2.42,1.75
cell 30,2736.55,0.94,2913.94,3.08,1.01,-8.97,-29.39,1.13,2.60,2.05
cell 31,1758.52,3.02,1758.77,0.89,0.34,-9.11,-25.83,1.01,2.53,1.96
cell 32,2418.71,0.87,2197.86,3.06,0.86,-8.37,-24.06,1.17,2.54,1.91
cell 33,508.71,0.93,635.34,3.06,-0.09,-18.08,-23.50,0.85,2.64,2.11
cell 34,1374.76,0.92,1241.16,3.04,0.00,-12.71,-25.39,1.01,2.51,1.92
cell 35,3762.98,3.06,3840.77,0.86,1.40,-7.84,-25.69,1.38,2.57,1.95
cell 36,1510.36,1.00,1508.39,3.07,0.64,-6.36,-27.43,0.81,2.56,2.04
cell 37,2771.22,3.04,3209.29,0.73,1.57,-11.04,-23.30,1.52,2.54,1.80
cell 38,2337.37,0.76,1959.64,3.05,0.86,-9.81,-23.31,1.37,2.53,1.80
cell 39,3193.57,3.16,3331.22,0.86,1.48,-7.01,-26.65,1.33,2.65,1.99
cell 40,1639.44,3.02,1684.98,0.69,0.53,-14.99,-24.00,1.17,2.57,1.84
cell 41,2298.59,3.07,2504.08,0.73,0.84,-10.97,-25.33,1.23,2.58,1.85
cell 42,3653.10,3.08,4218.06,0.93,1.75,-6.88,-26.21,1.42,2.52,1.93
cell 43,2679.68,3.24,1999.49,0.94,0.64,-13.25,-26.64,1.24,2.83,2.26
cell 44,1003.13,0.84,1060.07,3.00,0.23,-11.72,-25.97,0.93,2.55,1.95
cell 45,492.99,0.66,574.67,2.94,0.10,-17.07,-24.10,0.78,2.57,1.88
cell 46,1558.31,0.79,1399.55,3.15,0.43,-9.89,-24.52,1.06,2.63,1.91
cell 47,2140.07,3.13,2436.38,0.81,0.32,-11.96,-25.47,1.12,2.60,1.90
cell 48,1122.71,2.97,903.09,0.76,0.53,-12.44,-23.06,1.06,2.59,1.98
cell 49,3212.24,3.10,3170.58,1.03,1.75,-6.23,-26.50,0.98,2.59,2.07
cell 50,1743.04,2.97,1632.23,0.73,0.47,-11.34,-24.52,1.20,2.55,1.89
cell 51,1083.58,3.01,968.87,0.77,0.42,-10.77,-24.33,1.00,2.59,1.95
